name,price,quantity,available_colors,description,category,gender
nike_acg_ultrafly_trail_orange,178,17,{White},,{Sport},Male
nike_alpha_menace_4_varsity_blue,118,14,{Black},,{Sport},Male
nike_alphafly_3_navy,231,27,{Aqua},,{Sport},Female
nike_alphafly_3_orange,320,21,{Pink},,{Sport},Male
nike_long_jump_elite_white,299,17,{Blue},,{Sport},Female
nike_maxfly_2_purple,154,8,{Purple},,{Sport},Male
nike_maxfly_2_yellow,350,18,{Orange},,{Sport},Male
nike_mercurial_superfly_10_elite_blue,297,12,{Blue},,{Sport},Male
nike_phantom_6_low_elite_red,193,20,{White},,{Sport},Male
nike_vapor_edge_360_black,121,19,{Orange},,{Sport},Female
nike_vapor_shark_3_purple,205,1,{Black},,{Sport},Male
nike_vapor_speed_3_green,139,12,{Purple},,{Sport},Male
nike_vomero_plus_black,243,6,{Orange},,{Sport},Male
nike_vomero_plus_pink,389,23,{Pink},,{Sport},Female
nike_zoom_rival_xc_6_aqua,145,6,{Purple},,{Sport},Male
nike_zoom_rival_xc_6_pink,189,6,{Red},,{Sport},Female
nike_zoom_rotational_6_yellow,183,29,{Aqua},,{Sport},Male
air_jordan_1_retro_high_og_gray,142,8,{Pink},,{Sport},Male
air_jordan_4_retro_brown,349,16,{Orange},,{Sport},Female
air_jordan_4_retro_red,149,22,{Gray},,{Sport},Female
air_jordan_mvp_92_green,107,23,{Aqua},,{Sport},Male
clair_hair_leather_mary_jane_flat_black,345,25,{Blue},,{Comfort},Female
dr_scholls_time_off_go_black,253,12,{Black},,{Comfort},Male
mixed_texture_chunky_leather_sneaker_white,140,14,{White},,{Comfort},Male
nike_revolution_8_pink,291,28,{Blue},,{Comfort},Male
signature_stripe_leather_court_sneaker_white,276,16,{Black},,{Comfort},Male
skechers_arch_fit_laguna_black,278,23,{Blue},,{Comfort},Female
sketcher_max_cushioning_endeavour_black,167,23,{Black},,{Comfort},Female
sketchers_arch_fit_laguna_gray,395,6,{White},,{Comfort},Female
sketchers_max_cushioning_endeavour_athletic_running_black,355,25,{Purple},,{Comfort},Female
sketcher_slip_in_go_run_max_cushioning_purple,330,2,{Blue},,{Comfort},Female
air_jordan1_mid_se_edge_pink,367,4,{Aqua},,{Comfort},Female
jordan_6_rings_black,172,7,{Red},,{Comfort},Male
jordan_spizike_low_pink,225,21,{Gray},,{Comfort},Female
nike_air_force_1_07_se_lny_white,188,7,{Red},,{Comfort},Female
nike_air_max_plus_g_white,165,29,{Black},,{Comfort},Male
cliffs_by_white_mountain_hearten_lace_up_boots_white,122,23,{Aqua},,{Fashion},Female
converse_chuck_taylor_all_star_madison_white,100,17,{Purple},,{Fashion},Female
crocs_classic_clogs_white,199,23,{Blue},,{Fashion},Female
inc_internalion_concepts_odelya_dress_booties_black,359,26,{Purple},,{Fashion},Female
Makalu_kinsley_boots_chestnut,234,18,{Aqua},,{Fashion},Female
makalu_mock_out_moccasins_black,220,13,{Pink},,{Fashion},Female
soda_bells_pumps_black,187,18,{Pink},,{Fashion},Female
solanz_riddle_sandals_brown,330,4,{Orange},,{Fashion},Female
steve_madden_larina_lace_up_high_heel_ballet_pumps_pink,197,15,{Orange},,{Fashion},Female
ugg_classic_ultra_mini_booties_black,160,10,{Blue},,{Fashion},Female
cliffs_by_white_mountain_hearten_lace_up_boots_white,388,5,{Green},,{Fashion},Female
converse_chuck_taylor_all_star_madison_white,391,1,{Green},,{Fashion},Female
crocs_classic_clogs_white,324,23,{Aqua},,{Fashion},Female
inc_internalion_concepts_odelya_dress_booties_black,271,13,{Pink},,{Fashion},Female
Makalu_kinsley_boots_chestnut,327,20,{Pink},,{Fashion},Female
makalu_mock_out_moccasins_black,290,17,{Black},,{Fashion},Female
soda_bells_pumps_black,105,25,{Gray},,{Fashion},Female
solanz_riddle_sandals_brown,294,28,{Purple},,{Fashion},Female
steve_madden_larina_lace_up_high_heel_ballet_pumps_pink,263,9,{Gray},,{Fashion},Female
ugg_classic_ultra_mini_booties_black,166,24,{Orange},,{Fashion},Female
nike_air_force_1_07_se_lny_white,266,14,{Orange},,{Fashion},Female
nike_air_max_plus_g_white,378,3,{Aqua},,{Fashion},Female
